version_slug	pour	vote	contre	total
attention-a-la-qualite-et-a-la-securite-des-textes-scientifiques-qui-doivent-etre-valides-en-amont-promus-et-enrichis-ensuite-par-le-biais-de-bases-de-donnees	4	3	0	7
ne-pas-oublier-les-sets-de-donnees-lies-a-un-article	79	2	6	87
aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois-maximum	16	7	1	24
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	325	29	8	362
raccourcir-la-duree-dans-le-respect-de-h2020	15	18	2	35
garantir-le-libre-acces-aux-resultats-de-la-recherche-financee-par-des-fonds-publics	723	39	18	780
instituer-les-contributions-scientifiques-au-rang-de-biens-communs	6	0	1	7
le-texte-n-atteint-pas-ses-objectifs-et-presentent-des-difficultes	16	6	2	24
les-etudiantes-et-la-recherche	0	0	0	0
il-est-indispensable-de-realiser-des-etudes-d-impact-au-plus-vite-delais-d-embargos-pas-inferieurs-a-12-mois-en-stm-et-a-24-mois-en-shs	13	57	1	71
mentionner-les-donnees-de-la-recherche	29	0	0	29
proposition-2-nouvel-article-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	15	2	0	17
une-duree-d-embargo-plus-courte-et-ne-pas-entraver-le-tdm-text-and-data-mining	67	4	3	74
pourquoi-une-limitation-au-point-ii	4	18	0	22
modif-du-titre	1	0	0	1
aligner-les-delais-d-embargo-sur-ceux-de-la-communaute-europeenne-6-et-12-mois	166	31	3	200
obligation-du-libre-acces-aux-publications-scientifiques-de-la-recherche-publique	9	20	3	32
pas-de-differences-entre-les-domaines-scientifiques	22	17	1	40
je-me-rallie-aux-remarques-et-propositions-faites-par-le-comseil-scientifique-du-cnrs	5	0	1	6
la-recherche-financee-par-l-etat-appartient-a-tous	40	22	7	69
correction-syntaxique	7	0	0	7
code-de-la-propriete-intellectuelle-plutot-que-code-de-la-recherche	8	19	0	27
unification-de-la-diffusion-des-connaissances	5	1	0	6
toute-restriction-a-l-acces-aux-publications-scientifiques-est-nefaste-et-couteuse	100	23	0	123
pas-d-embargo-ou-tres-reduit	22	20	2	44
duree-d-embargo-et-tdm	2	0	0	2
recherche-publique-acces-public	11	2	1	14
publicite-des-articles-et-retroactivite-sur-les-contrats-en-cours	11	19	1	31
le-delai-d-embargo-est-beaucoup-trop-long	14	18	0	32
mise-en-ligne-des-theses-de-doctorat	40	0	1	41
donner-le-vin-vendre-les-bouteilles	2	1	0	3
pour-une-garantie-de-diffusion-en-acces-ouvert	253	17	4	274
poir-un-droit-de-fouiller-les-textes-autoriser-le-text-et-datamining	252	31	4	287
recherches-financees-par-des-fonds-publics-accessibles-sans-delai	7	15	0	22
mention-supplementaire-conforme-aux-preconnisations-de-l-ocde	71	1	0	72
une-duree-d-embargo-plus-courte-ne-pas-entraver-le-tdm-text-and-data-mining-et-ne-pas-interdire-une-exploitation-commerciale-1	8	15	3	26
acces-public-gratuit-et-embargo-plus-court	7	8	2	17
d-abord-droteger-le-droit-des-auteurs	1	0	0	1
rattacher-les-publications-de-recherche-financees-par-l-argent-public-au-domaine-commun-informationnel-de-l-article-8	6	0	1	7
clarifions-la-publication-scientifique	3	1	0	4
proteger-l-edition-scientifique-francaise	32	99	0	131
conditionner-la-definition-des-durees-d-embargo-a-la-realisation-d-etudes-d-impact-sur-l-economie-des-revues-scientifiques-concernees	23	44	0	67
pas-de-restriction-de-temps-pour-les-financements-europeens-et-francais	11	21	1	33
mettre-a-disposition-egalement-la-correspondance-entre-les-auteurs-et-l-editeur-examinateurs-reviewers-pour-enrichir-la-publication-et-mettre-en-valeur-le-travail-des-examinateurs	7	3	0	10
affirmer-la-coherence-des-logiques-de-mise-en-place-de-l-open-access-reduire-le-temps-de-carence-rendre-moins-monolithique-les-droits-d-exploitation-commerciale	1	20	0	21
ouvrages-collectifs	1	0	0	1
une-duree-d-embargo-plus-courte-ne-pas-entraver-le-tdm-fouille-de-texte-et-de-donnees-et-ne-pas-interdire-une-exploitation-commerciale	1633	68	48	1749
proteger-le-droit-des-auteurs-d-articles-scientifiques-pour-permettre-le-libre-acces-a-la-recherche-scientifique	1498	6	7	1511
pour-legiferer-sur-le-libre-acces-une-etude-d-impact-est-necessaire	31	26	1	58
une-publication-dans-le-strict-respect-de-la-confidentialite	2	1	1	4
au-point-ii-en-cours-de-quand	2	0	0	2
pas-de-delais-d-embargo-pour-les-etudiants	2	0	1	3
favoriser-le-libre-acces-sans-mettre-en-peril-les-revues-shs-imaginer-de-nouveaux-modeles-de-diffusion-de-la-science	260	138	4	402
libre-acces-aux-resultats-de-la-production-scientifique	1	0	1	2
grande-encyclopedie-collaborative-de-la-recherche-scientifique	2	1	0	3
reduire-la-duree-d-embargo	7	13	1	21
24-mois-pour-les-sciences-humaines-c-est-trop-long-quid-de-l-etude-d-internet-des-reseaux-sociaux-du-big-data-etc-12-mois-pour-tous	4	23	1	28
aucun-delai-pour-la-mise-a-disposition-gratuite-sous-forme-numerique	28	21	0	49
pour-l-acces-libre-aux-resultats-de-la-recherche-scientifique	60	2	1	63
inapplicable	0	8	0	8
trente-six-mois-pour-les-sciences-humaines-et-sociales	21	95	0	116
modification-article-initial-l-533-4-pour-l-112-6-cr	1	18	3	22
pour-une-science-ouverte-l-acces-et-l-exploitation-des-bien-communs-de-la-connaissance-ne-doivent-pas-etre-entraves	75	2	1	78
redaction-a-ameliorer	0	2	2	4
garantir-le-depot-en-archive-ouverte-seul-dispositif-assurant-un-libre-acces-perenne-conformite-aux-recommandations-europeennes-embargo-e	155	12	3	170
pas-de-delai-de-mise-a-disposition	12	2	1	15
sans-delai-de-mise-a-disposition-ou-au-terme-d-un-delai-de-6-mois	4	4	0	8
ajout-production-scolaire	0	0	0	0
taxer-les-grands-editeurs-etrangers-qui-profitent-des-investissements-publics	1	0	1	2
supprimer-le-delai-d-embargo-la-recherche-publique-appartient-au-public-les-donnees-et-les-publications-aussi-acces-libre-a-la-connaissance-scientifique	32	2	1	35
acces-libre-integral-et-obligatoire	26	17	2	45
assurer-la-compatibilite-avec-les-licences-libres	49	1	0	50
pas-de-delai-du-tout-la-recherche-publique-appartient-au-public-les-donnees-et-les-publications-aussi	15	0	0	15
garantir-l-autorisation-du-depot-immediat-de-la-version-auteur-dans-une-archive-ouverte	475	21	21	517
duree-d-embargo-et-tdm-1	17	148	2	167
la-collectivite-doit-pouvoir-acceder-sans-entrave-aux-donnees-et-informations-scientifiques-et-les-utiliser-librement	9	4	0	13
attention-vous-ne-voyez-que-50-propositions-utiliser-l-outil-de-tri-pour-voir-les-plus-anciennes-les-plus-votees-etc	0	0	0	0
du-gouvernement-ouvert-a-l-universite-ouverte-en-redonnant-aux-chercheurs-le-controle-de-leurs-droits-d-auteur	24	0	3	27
mettre-en-place-un-depot-institutionnel	3	17	1	21
une-duree-d-embargo-plus-courte-ne-pas-entraver-le-tdm-text-and-data-mining-et-ne-pas-s-approprier-a-titre-exclusif-des-benefices-de-toutes-natures-qui-pourraient-decouler-d-une-publication-scientifique	2	15	1	18
enrichir-wikipedia	1	11	2	14
je-ma-rallie-aux-propositions-du-conseil-scientifique-du-cnrs	2	1	1	4
contre-l-article-9	0	3	1	4
pour-une-obligation-de-depot-et-le-libre-acces-assorti-de-la-libre-reutilisation-des-resultats-de-la-recherche	180	26	5	211
pour-le-libre-acces-contre-tout-archive-unique	12	12	4	28
les-donnees-issues-d-une-activite-de-recherche	4	0	1	5
permettre-au-moins-un-delai-d-embargo-plus-court-grace-au-contrat	3	1	0	4
met-a-disposition-pas-dispose-du-droit	5	2	0	7
pour-une-redaction-equilibree-qui-reconnaisse-la-contribution-de-chacun-auteurs-fonds-publics-et-editeurs-et-les-droits-qui-y-sont-associes-a-l-auteur-peut-mettre-dans-le-domaine-public-immediatement-son-manuscript-a-l-exclusion-du-travail-de-l-editeur-b-	9	0	2	11
les-delais-d-embargo-doivent-etre-conditionnes-a-des-etudes-d-impact	55	161	2	218
les-articles-scientifiques-sont-des-biens-communs-de-la-connaissance	163	16	1	180
limitation-des-prerogatives-de-l-auteur-pour-les-travaux-fiances-sur-des-fonds-publics	9	15	1	25
mise-a-disposition-systematique-des-resultats-de-la-recherche-financee-par-des-fonds-publics	36	29	1	66
egalite-de-l-acces-aux-ecrits-scientifiques	3	18	1	22
modification	0	0	1	1
ajout-des-rapports-dans-la-liste-des-formes-de-publication-prises-en-charge	6	0	0	6
un-principe-simple-la-recherche-publique-dans-le-domaine-public	11	1	0	12
delais-trop-longs	6	4	1	11
flou-dans-la-notion-de-moitie-du-financement	11	1	2	14
compte-rendu-du-groupe-gouv-camp-article-9	3	0	0	3
domaines-sensibles	2	1	1	4
supprimer-le-delai	60	17	0	77
distinguer-shs-et-stem-ne-reconnait-pas-les-recherches-interdisplinaires-quelle-premiere-publication-quelle-version	0	0	0	0
une-duree-d-embargo-plus-courte-ne-pas-entraver-le-tdm-text-and-data-mining-et-ne-pas-interdire-une-exploitation-commerciale	8	14	2	24
delai-d-embargo-bien-trop-long	7	20	1	28
licence-libre-de-paternite	6	1	0	7
aucune-cession-a-l-editeur-lorsque-les-ecrits-sont-non-remuneres-et-possible-a-6-mois-lorsque-remuneres-sans-distinction-de-champs-disciplinaires	92	3	1	96
synthese-des-propositions-ajout-sur-l-egalite-de-l-acces	1	16	2	19
original	1320	1732	282	3334
